Codigo,Descricao,Referencias
C388,"Neoplasia maligna do coração, mediastino e pleura com lesão invasiva",NA
C390,"Neoplasia maligna do trato respiratório superior, porção não especificada",NA
C398,Neoplasia maligna do aparelho respiratório e dos órgãos intratorácicos com lesão invasiva,NA
C399,Neoplasia maligna de localizações mal definidas do aparelho respiratório,NA
C400,Neoplasia maligna da omoplata [escápula] e ossos longos dos membros superiores,NA
C401,Neoplasia maligna dos ossos curtos dos membros superiores,NA
C402,Neoplasia maligna dos ossos longos dos membros inferiores,NA
C403,Neoplasia maligna dos ossos curtos dos membros inferiores,NA
C408,Neoplasia maligna dos ossos e cartilagens articulares dos membros com lesão invasiva,NA
C409,Neoplasia maligna dos ossos e cartilagens articulares de membro não especificado,NA
C410,Neoplasia maligna dos ossos do crânio e da face,NA
C411,Neoplasia maligna da mandíbula,NA
C412,Neoplasia maligna da coluna vertebral,NA
C413,"Neoplasia maligna das costelas, esterno e clavícula",NA
C414,"Neoplasia maligna dos ossos da pelve, sacro e cóccix",NA
C418,Neoplasia maligna dos ossos e das cartilagens articulares com lesão invasiva,NA
C419,"Neoplasia maligna dos ossos e cartilagens articulares, não especificados",NA
C430,Melanoma maligno do lábio,NA
C431,"Melanoma maligno da pálpebra, incluindo as comissuras palpebrais",NA
C432,Melanoma maligno da orelha e do conduto auditivo externo,NA
C433,Melanoma maligno de outras partes e partes não especificadas da face,NA
C434,Melanoma maligno do couro cabeludo e do pescoço,NA
C435,Melanoma maligno do tronco,NA
C436,"Melanoma maligno do membro superior, incluindo ombro",NA
C437,"Melanoma maligno do membro inferior, incluindo quadril",NA
C438,Melanoma maligno invasivo da pele,NA
C439,"Melanoma maligno de pele, não especificado",NA
C440,Neoplasia maligna da pele do lábio,NA
C441,"Neoplasia maligna da pele da pálpebra, incluindo o canto",NA
C442,Neoplasia maligna da pele da orelha e do conduto auditivo externo,NA
C443,Neoplasia maligna da pele de outras partes e de partes não especificadas da face,NA
C444,Neoplasia maligna da pele do couro cabeludo e do pescoço,NA
C445,Neoplasia maligna da pele do tronco,NA
C446,"Neoplasia maligna da pele do membro superior, incluindo ombro",NA
C447,"Neoplasia maligna da pele do membro inferior, incluindo quadril",NA
C448,Neoplasia maligna da pele com lesão invasiva,NA
C449,"Neoplasia maligna da pele, não especificada",NA
C450,Mesotelioma da pleura,NA
C451,Mesotelioma do peritônio,NA
C452,Mesotelioma do pericárdio,NA
C457,Mesotelioma de outras localizações,NA
C459,"Mesotelioma, não especificado",NA
C460,Sarcoma de Kaposi da pele,NA
C461,Sarcoma de Kaposi de tecidos moles,NA
C462,Sarcoma de Kaposi do palato,NA
C463,Sarcoma de Kaposi dos gânglios linfáticos,NA
C467,Sarcoma de Kaposi de outras localizações,NA
C468,Sarcoma de Kaposi de múltiplos órgãos,NA
C469,"Sarcoma de Kaposi, não especificado",NA
C470,"Neoplasia maligna dos nervos periféricos da cabeça, face e pescoço",NA
C471,"Neoplasia maligna dos nervos periféricos dos membros superiores, incluindo ombro",NA
C472,"Neoplasia maligna dos nervos periféricos dos membros inferiores, incluindo quadril",NA
C473,Neoplasia maligna dos nervos periféricos do tórax,NA
C474,Neoplasia maligna dos nervos periféricos do abdome,NA
C475,Neoplasia maligna dos nervos periféricos da pelve,NA
C476,Neoplasia maligna dos nervos periféricos do tronco,NA
C478,Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo com lesão invasiva,NA
C479,"Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados",NA
C480,Neoplasia maligna do retroperitônio,NA
C481,Neoplasia maligna de partes especificadas do peritônio,NA
C482,Neoplasia maligna do peritônio,NA
C488,Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio com lesão invasiva,NA
C490,"Neoplasia maligna do tecido conjuntivo e tecidos moles da cabeça, face e pescoço",NA
C491,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro",NA
C492,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril",NA
C493,Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax,NA
C494,Neoplasia maligna do tecido conjuntivo e tecidos moles do abdome,NA
C495,Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve,NA
C496,Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco,NA
C498,Neoplasia maligna do tecido conjuntivo e dos tecidos moles com lesão invasiva,NA
C499,"Neoplasia maligna do tecido conjuntivo e tecidos moles, não especificados",NA
C500,Neoplasia maligna do mamilo e aréola,NA
C501,Neoplasia maligna da porção central da mama,NA
C502,Neoplasia maligna do quadrante superior interno da mama,NA
C503,Neoplasia maligna do quadrante inferior interno da mama,NA
C504,Neoplasia maligna do quadrante superior externo da mama,NA
C505,Neoplasia maligna do quadrante inferior externo da mama,NA
C506,Neoplasia maligna da porção axilar da mama,NA
C508,Neoplasia maligna da mama com lesão invasiva,NA
C509,"Neoplasia maligna da mama, não especificada",NA
C510,Neoplasia maligna dos grandes lábios,NA
C511,Neoplasia maligna dos pequenos lábios,NA
C512,Neoplasia maligna do clitóris,NA
C518,Neoplasia maligna da vulva com lesão invasiva,NA
C519,"Neoplasia maligna da vulva, não especificada",NA
C52,Neoplasia maligna da vagina,NA
C530,Neoplasia maligna do endocérvix,NA
C531,Neoplasia maligna do exocérvix,NA
C538,Neoplasia maligna do colo do útero com lesão invasiva,NA
C539,"Neoplasia maligna do colo do útero, não especificado",NA
C540,Neoplasia maligna do istmo do útero,NA
C541,Neoplasia maligna do endométrio,NA
C542,Neoplasia maligna do miométrio,NA
C543,Neoplasia maligna do fundo do útero,NA
C548,Neoplasia maligna do corpo do útero com lesão invasiva,NA
C549,"Neoplasia maligna do corpo do útero, não especificado",NA
C55,"Neoplasia maligna do útero, porção não especificada",NA
C56,Neoplasia maligna do ovário,NA
C570,Neoplasia maligna da trompa de Falópio,NA
C571,Neoplasia maligna do ligamento largo,NA
C572,Neoplasia maligna do ligamento redondo,NA
C573,Neoplasia maligna do paramétrio,NA
C574,Neoplasia maligna dos anexos uterinos,NA
C577,Neoplasia maligna de outras partes especificadas dos órgãos genitais femininos,NA
C578,Neoplasia maligna dos órgãos genitais femininos com lesão invasiva,NA
C579,"Neoplasia maligna de órgão genital feminino, não especificado",NA
C58,Neoplasia maligna da placenta,NA
C600,Neoplasia maligna do prepúcio,NA
C601,Neoplasia maligna da glande,NA
C602,Neoplasia maligna do corpo do pênis,NA
C608,Neoplasia maligna do pênis com lesão invasiva,NA
C609,"Neoplasia maligna do pênis, não especificado",NA
C61,Neoplasia maligna da próstata,NA
C620,Neoplasia maligna do testículo criptorquídico,NA
C621,Neoplasia maligna do testículo tópico,NA
C629,"Neoplasia maligna do testículo, sem outras especificações",NA
C630,Neoplasia maligna do epidídimo,NA
C631,Neoplasia maligna do cordão espermático,NA
C632,Neoplasia maligna do escroto,NA
C637,Neoplasia maligna de outros órgãos genitais masculinos especificados,NA
C638,Neoplasia maligna dos órgãos genitais masculinos com lesão invasiva,NA
C639,"Neoplasia maligna de órgão genital masculino, não especificado",NA
C64,"Neoplasia maligna do rim, exceto pelve renal",NA
C65,Neoplasia maligna da pelve renal,NA
C66,Neoplasia maligna dos ureteres,NA
C670,Neoplasia maligna do trígono da bexiga,NA
C671,Neoplasia maligna da cúpula da bexiga,NA
C672,Neoplasia maligna da parede lateral da bexiga,NA
C673,Neoplasia maligna da parede anterior da bexiga,NA
C674,Neoplasia maligna da parede posterior da bexiga,NA
C675,Neoplasia maligna do colo da bexiga,NA
C676,Neoplasia maligna do orifício uretérico,NA
C677,Neoplasia maligna do úraco,NA
C678,Neoplasia maligna da bexiga com lesão invasiva,NA
C679,"Neoplasia maligna da bexiga, sem outra especificações",NA
C680,Neoplasia maligna da uretra,NA
C681,Neoplasia maligna da glândula parauretral,NA
C688,Neoplasia maligna dos órgãos urinários com lesão invasiva,NA
C689,"Neoplasia maligna de órgão urinário, não especificado",NA
C690,Neoplasia maligna da conjuntiva,NA
C691,Neoplasia maligna da córnea,NA
C692,Neoplasia maligna da retina,NA
C693,Neoplasia maligna da coróide,NA
C694,Neoplasia maligna do corpo ciliar,NA
C695,Neoplasia maligna da glândula e canal lacrimal,NA
C696,Neoplasia maligna da órbita,NA
C698,Neoplasia maligna do olho e anexos com lesão invasiva,NA
C699,"Neoplasia maligna do olho, não especificado",NA
C700,Neoplasia maligna das meninges cerebrais,NA
C701,Neoplasia maligna das meninges espinhais,NA
C709,"Neoplasia maligna da meninge, não especificada",NA
C710,"Neoplasia maligna do cérebro, exceto lobos e ventrículos",NA
C711,Neoplasia maligna do lobo frontal,NA
C712,Neoplasia maligna do lobo temporal,NA
C713,Neoplasia maligna do lobo parietal,NA
C714,Neoplasia maligna do lobo occipital,NA
C715,Neoplasia maligna do ventrículo cerebral,NA
C716,Neoplasia maligna do cerebelo,NA
C717,Neoplasia maligna do tronco cerebral,NA
C718,Neoplasia maligna do encéfalo com lesão invasiva,NA
C719,"Neoplasia maligna do encéfalo, não especificado",NA
C720,Neoplasia maligna da medula espinhal,NA
C721,Neoplasia maligna da cauda eqüina,NA
C722,Neoplasia maligna do nervo olfativo,NA
C723,Neoplasia maligna do nervo óptico,NA
C724,Neoplasia maligna do nervo acústico,NA
C725,Neoplasia maligna de outros nervos cranianos e os não especificados,NA
C728,Neoplasia maligna do encéfalo e de outras partes do sistema nervoso central com lesão invasiva,NA
C729,"Neoplasia maligna do sistema nervoso central, não especificado",NA
C73,Neoplasia maligna da glândula tireóide,NA
C740,Neoplasia maligna do córtex da supra-renal,NA
C741,Neoplasia maligna da medula da supra-renal,NA
C749,"Neoplasia maligna da glândula supra-renal, não especificada",NA
C750,Neoplasia maligna da glândula paratireóide,NA
C751,Neoplasia maligna da glândula hipófise (pituitária),NA
C752,Neoplasia maligna do conduto craniofaríngeo,NA
C753,Neoplasia maligna da glândula pineal,NA
C754,Neoplasia maligna do corpo carotídeo,NA
C755,Neoplasia maligna do corpo aórtico e outros paragânglios,NA
C758,"Neoplasia maligna com comprometimento pluriglandular, sem outra especificação",NA
C759,"Neoplasia maligna de glândula endócrina, não especificada",NA
C760,"Neoplasia maligna da cabeça, face e pescoço",NA
C761,Neoplasia maligna do tórax,NA
C762,Neoplasia maligna do abdome,NA
C763,Neoplasia maligna da pelve,NA
C764,Neoplasia maligna do membro superior,NA
C765,Neoplasia maligna do membro inferior,NA
C767,Neoplasia maligna de outras localizações mal definidas,NA
C768,Neoplasia maligna de outras localizações e das mal definidas com lesão invasiva,NA
C770,"Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça, face e pescoço",NA
C771,Neoplasia maligna secundária e não especificada dos gânglios linfáticos intratorácicos,NA
C772,Neoplasia maligna secundária e não especificada dos gânglios linfáticos intra-abdominais,NA
C773,Neoplasia maligna secundária e não especificada dos gânglios linfáticos axilares e dos membros superiores,NA
C774,Neoplasia maligna secundária e não especificada dos gânglios linfáticos inguinais e dos membros inferiores,NA
C775,Neoplasia maligna secundária e não especificada dos gânglios linfáticos intrapélvicos,NA
C778,Neoplasia maligna secundária e não especificada dos gânglios linfáticos de múltiplas regiões,NA
C779,"Neoplasia maligna secundária e não especificada de gânglio linfático, não especificado",NA
C780,Neoplasia maligna secundária dos pulmões,NA
C781,Neoplasia maligna secundária do mediastino,NA
C782,Neoplasia maligna secundária da pleura,NA
C783,Neoplasia maligna secundária de outros órgãos respiratórios e não especificados,NA
C784,Neoplasia maligna secundária do intestino delgado,NA
C785,Neoplasia maligna secundária do intestino grosso e do reto,NA
C786,Neoplasia maligna secundária do retroperitônio e do peritônio,NA
C787,Neoplasia maligna secundária do fígado,NA
C788,Neoplasia maligna secundária de outros órgãos digestivos e não especificados,NA
C790,Neoplasia maligna secundária do rim e da pelve renal,NA
C791,"Neoplasia maligna secundária da bexiga, de outro órgão urinário e não especificado",NA
C792,Neoplasia maligna secundária da pele,NA
C793,Neoplasia maligna secundária do encéfalo e das meninges cerebrais,NA
C794,Neoplasia maligna secundária de outras partes do sistema nervoso e não especificadas,NA
C795,Neoplasia maligna secundária dos ossos e da medula óssea,NA
C796,Neoplasia maligna secundária do ovário,NA
C797,Neoplasia maligna secundária das glândulas supra-renais (adrenais),NA
C798,Neoplasia maligna secundária de outra localização especificada,NA
C80,"Neoplasia maligna, sem especificação de localização",NA
C810,"Doença de Hodgkin, predominância linfocítica",NA
C811,"Doença de Hodgkin, esclerose nodular",NA
C812,"Doença de Hodgkin, celularidade mista",NA
C813,"Doença de Hodgkin, depleção linfocítica",NA
C817,Outra forma da doença de Hodgkin,NA
C819,"Doença de Hodgkin, não especificada",NA
C820,"Linfoma não-Hodgkin, pequenas células clivadas, folicular",NA
C821,"Linfoma não-Hodgkin, misto, de pequenas e grandes células clivadas, folicular",NA
C822,"Linfoma não-Hodgkin, grandes células, folicular",NA
C827,"Outros tipos de linfoma não-Hodgkin, folicular",NA
C829,"Linfoma não-Hodgkin, folicular, não especificado",NA
C830,"Linfoma não-Hodgkin difuso, pequenas células (difuso)",NA
C831,"Linfoma não-Hodgkin difuso, pequenas células clivadas (difuso)",NA
C832,"Linfoma não-Hodgkin difuso, misto, de pequenas e grandes células (difuso)",NA
C833,"Linfoma não-Hodgkin difuso, grandes células (difuso)",NA
C834,"Linfoma não-Hodgkin difuso, imunoblástico (difuso)",NA
C835,"Linfoma não-Hodgkin difuso, linfoblástico (difuso)",NA
C836,"Linfoma não-Hodgkin difuso, indiferenciado (difuso)",NA
C837,Tumor de Burkitt,NA
C838,Outros tipos de linfoma não-Hodgkin difuso,NA
C839,"Linfoma não-Hodgkin difuso, não especificado",NA
C840,Micose fungóide,NA
C841,Doença de Sézary,NA
C842,Linfoma da zona T,NA
C843,Linfoma linfoepitelióide,NA
C844,"Linfoma de células T, periférico",NA
C845,Outros linfomas de células T e os não especificados,NA
C850,Linfossarcoma,NA
C851,"Linfoma de células B, não especificado",NA
C857,Outros tipos especificados de linfoma não-Hodgkin,NA
C859,Linfoma não-Hodgkin de tipo não especificado,NA
C880,Macroglobulinemia de Waldenström,NA
C881,Doença de cadeia pesada alfa,NA
C882,Doença de cadeia pesada gama,NA
C883,Doença imunoproliferativa do intestino delgado,NA
C887,Outras doenças imunoproliferativas malignas,NA
C889,"Doença imunoproliferativa maligna, não especificada",NA
C900,Mieloma múltiplo,NA
C901,Leucemia plasmocitária,NA
C902,Plasmocitoma extramedular,NA
C910,Leucemia linfoblástica aguda,NA
C911,Leucemia linfocítica crônica,NA
C912,Leucemia linfocítica subaguda,NA
C913,Leucemia pró-linfocítica,NA
C914,Leucemia de células pilosas,NA
C915,Leucemia de células T do adulto,NA
C917,Outras leucemias linfóides,NA
C919,"Leucemia linfóide, não especificada",NA
C920,Leucemia mielóide aguda,NA
C921,Leucemia mielóide crônica,NA
C922,Leucemia mielóide subaguda,NA
C923,Sarcoma mielóide,NA
C924,Leucemia pró-mielocítica aguda,NA
C925,Leucemia mielomonocítica aguda,NA
C927,Outras leucemias mielóides,NA
C929,"Leucemia mielóide, não especificada",NA
C930,Leucemia monocítica aguda,NA
C931,Leucemia monocítica crônica,NA
C932,Leucemia monocítica subaguda,NA
C937,Outras leucemias monocíticas,NA
C939,"Leucemia monocítica, não especificada",NA
C940,Eritremia e eritroleucemia agudas,NA
C941,Eritremia crônica,NA
C942,Leucemia megacarioblástica aguda,NA
C943,Leucemia de mastócitos,NA
C944,Panmielose aguda,NA
C945,Mielofibrose aguda,NA
C947,Outras leucemias especificadas,NA
C950,Leucemia aguda de tipo celular não especificado,NA
C951,Leucemia crônica de tipo celular não especificado,NA
C952,Leucemia subaguda de tipo celular não especificado,NA
C957,Outras leucemias de tipo celular não especificado,NA
C959,Leucemia não especificada,NA
C960,Doença de Letterer-Siwe,NA
C961,Histiocitose maligna,NA
C962,Tumor maligno de mastócitos,NA
C963,Linfoma histiocítico verdadeiro,NA
C967,"Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos",NA
C969,"Neoplasia maligna dos tecidos linfático, hematopoético e tecidos correlatos, não especificada",NA
C97,Neoplasias malignas de localizações múltiplas independentes (primárias),NA
D000,"Carcinoma in situ dos lábios, cavidade oral e faringe",NA
D001,Carcinoma in situ do esôfago,NA
D002,Carcinoma in situ do estômago,NA
D010,Carcinoma in situ do cólon,NA
D011,Carcinoma in situ da junção retossigmóide,NA
D012,Carcinoma in situ do reto,NA
D013,Carcinoma in situ do ânus e canal anal,NA
D014,Carcinoma in situ de outras partes do intestino e as não especificadas,NA
D015,"Carcinoma in situ do fígado, vesícula biliar e vias biliares",NA
D017,Carcinoma in situ de outros órgãos especificados do aparelho digestivo,NA
D019,"Carcinoma in situ de órgãos digestivos, não especificado",NA
D020,Carcinoma in situ da laringe,NA
D021,Carcinoma in situ da traquéia,NA
D022,Carcinoma in situ dos brônquios e pulmões,NA
D023,Carcinoma in situ de outras partes do aparelho respiratório,NA
D029,"Carcinoma in situ do aparelho respiratório, não especificado",NA
D030,Melanoma in situ do lábio,NA
D031,"Melanoma in situ da pálpebra, incluindo o canto",NA
D032,Melanoma in situ da orelha e do conduto auditivo externo,NA
D033,"Melanoma in situ de outras partes, e de partes não especificadas da face",NA
D034,Melanoma in situ do couro cabeludo e do pescoço,NA
D035,Melanoma in situ do tronco,NA
D036,"Melanoma in situ dos membros superiores, incluindo ombro",NA
D037,"Melanoma in situ dos membros inferiores, incluindo quadril",NA
D038,Melanoma in situ de outras localizações,NA
D039,"Melanoma in situ, não especificado",NA
D040,Carcinoma in situ da pele do lábio,NA
D041,"Carcinoma in situ da pele da pálpebra, incluindo o canto",NA
D042,Carcinoma in situ da pele da orelha e do conduto auditivo externo,NA
D043,Carcinoma in situ da pele de outras partes e de partes não especificadas da face,NA
D044,Carcinoma in situ da pele do couro cabeludo e do pescoço,NA
D045,Carcinoma in situ da pele do tronco,NA
D046,"Carcinoma in situ da pele dos membros superiores, incluindo ombro",NA
D047,"Carcinoma in situ da pele dos membros inferiores, incluindo quadril",NA
D048,Carcinoma in situ da pele de outras localizações,NA
D049,"Carcinoma in situ da pele, não especificada",NA
D050,Carcinoma lobular in situ,NA
D051,Carcinoma intraductal in situ,NA
D057,Outros carcinomas in situ,NA
D059,"Carcinoma in situ da mama, não especificado",NA
D060,Carcinoma in situ do endocérvix,NA
D061,Carcinoma in situ do exocérvix,NA
D067,Carcinoma in situ de outras partes do colo do útero,NA
D069,"Carcinoma in situ do colo do útero, não especificado",NA
D070,Carcinoma in situ do endométrio,NA
D071,Carcinoma in situ da vulva,NA
D072,Carcinoma in situ da vagina,NA
D073,Carcinoma in situ de outros órgãos genitais femininos e os não especificados,NA
D074,Carcinoma in situ do pênis,NA
D075,Carcinoma in situ da próstata,NA
D076,Carcinoma in situ de outros órgãos genitais masculinos e os não especificados,NA
D090,Carcinoma in situ da bexiga,NA
D091,Carcinoma in situ de outros órgãos urinários e os não especificados,NA
D092,Carcinoma in situ do olho,NA
D093,Carcinoma in situ da tireóide e de outras glândulas endócrinas,NA
D097,Carcinoma in situ de outras localizações especificadas,NA
D099,"Carcinoma in situ, não especificado",NA
D100,Neoplasia benigna dos lábios,NA
D101,Neoplasia benigna da língua,NA
D102,Neoplasia benigna do assoalho da boca,NA
D103,Neoplasia benigna de outras partes da boca e as não especificadas,NA
D104,Neoplasia benigna da amígdala,NA
D105,Neoplasia benigna de outras partes da orofaringe,NA
D106,Neoplasia benigna da nasofaringe,NA
D107,Neoplasia benigna da hipofaringe,NA
D109,"Neoplasia benigna da faringe, não especificada",NA
D110,Neoplasia benigna da glândula parótida,NA
D117,Neoplasia benigna de outras glândulas salivares maiores,NA
D119,"Neoplasia benigna da glândula salivar maior, não especificada",NA
D120,Neoplasia benigna do ceco,NA
D121,Neoplasia benigna do apêndice (vermiforme),NA
D122,Neoplasia benigna do cólon ascendente,NA
D123,Neoplasia benigna do cólon transverso,NA
D124,Neoplasia benigna do cólon descendente,NA
D125,Neoplasia benigna do cólon sigmóide,NA
D126,"Neoplasia benigna do cólon, não especificada",NA
D127,Neoplasia benigna da junção retossigmóide,NA
D128,Neoplasia benigna do reto,NA
D129,Neoplasia benigna do canal anal e ânus,NA
D130,Neoplasia benigna do esôfago,NA
D131,Neoplasia benigna do estômago,NA
D132,Neoplasia benigna do duodeno,NA
D133,Neoplasia benigna de outras partes e partes não especificadas do intestino delgado,NA
D134,Neoplasia benigna do fígado,NA
D135,Neoplasia benigna das vias biliares extra-hepáticas,NA
D136,Neoplasia benigna do pâncreas,NA
D137,Neoplasia benigna do pâncreas endócrino,NA
D139,Neoplasia benigna de localizações mal definidas do aparelho digestivo,NA
D140,"Neoplasia benigna do ouvido médio, cavidade nasal e seios paranasais",NA
D141,Neoplasia benigna da laringe,NA
D142,Neoplasia benigna da traquéia,NA
D143,Neoplasia benigna dos brônquios e pulmão,NA
D144,"Neoplasia benigna do aparelho respiratório, não especificado",NA
D150,Neoplasia benigna do timo,NA
D151,Neoplasia benigna do coração,NA
D152,Neoplasia benigna do mediastino,NA
D157,Neoplasia benigna de outros órgãos intratorácicos especificados,NA
D159,"Neoplasia benigna de órgão intratorácico, não especificado",NA
D160,Neoplasia benigna da omoplata [escápula] e ossos longos dos membros superiores,NA
D161,Neoplasia benigna dos ossos curtos dos membros superiores,NA
D162,Neoplasia benigna dos ossos longos dos membros inferiores,NA
D163,Neoplasia benigna dos ossos curtos dos membros inferiores,NA
D164,Neoplasia benigna dos ossos do crânio e da face,NA
D165,Neoplasia benigna do osso da mandíbula,NA
D166,Neoplasia benigna da coluna vertebral,NA
D167,"Neoplasia benigna das costelas, do esterno e da clavícula",NA
D168,"Neoplasia benigna dos ossos pélvicos, sacro e cóccix",NA
D169,"Neoplasia benigna do osso e cartilagem articular, não especificado",NA
D170,"Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço",NA
D171,Neoplasia lipomatosa benigna da pele e tecido subcutâneo do tronco,NA
D172,Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros,NA
D173,Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas,NA
D174,Neoplasia lipomatosa benigna de órgãos intratorácicos,NA
D175,Neoplasia lipomatosa benigna de órgãos intra-abdominais,NA
D176,Neoplasia lipomatosa benigna do cordão espermático,NA
D177,Neoplasia lipomatosa benigna de outras localizações,NA
D179,Neoplasia lipomatosa benigna de localização não especificada,NA
D180,Hemangioma de qualquer localização,NA
D181,Linfangioma de qualquer localização,NA
D190,Neoplasia benigna do tecido mesotelial da pleura,NA
D191,Neoplasia benigna do tecido mesotelial do peritônio,NA
D197,Neoplasia benigna do tecido mesotelial de outras localizações,NA
D199,"Neoplasia benigna do tecido mesotelial, não especificado",NA
D200,Neoplasia benigna do retroperitônio,NA
D201,Neoplasia benigna do peritônio,NA
D210,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço",NA
D211,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incluindo ombro",NA
D212,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros inferiores, incluindo quadril",NA
D213,Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tórax,NA
D214,Neoplasia benigna do tecido conjuntivo e outros tecidos moles do abdome,NA
D215,Neoplasia benigna do tecido conjuntivo e outros tecidos moles da pelve,NA
D216,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles do tronco, não especificado",NA
D219,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação",NA
D220,Nevo melanocítico do lábio,NA
D221,"Nevo melanocítico da pálpebra, incluindo o canto",NA
D222,Nevo melanocítico da orelha e do conduto auditivo externo,NA
D223,Nevo melanocítico de outras partes e de partes não especificadas da face,NA
D224,Nevo melanocítico do couro cabeludo e do pescoço,NA
D225,Nevo melanocítico do tronco,NA
D226,"Nevo melanocítico dos membros superiores, incluindo ombro",NA
D227,"Nevo melanocítico dos membros inferiores, incluindo quadril",NA
D229,"Nevo melanocítico, não especificado",NA
D230,Neoplasia benigna da pele dos lábios,NA
D231,"Neoplasia benigna da pele da pálpebra, incluindo o canto",NA
D232,Neoplasia benigna da pele da orelha e do conduto auditivo externo,NA
D233,Neoplasia benigna da pele de outras partes e de partes não especificadas da face,NA
D234,Neoplasia benigna da pele do couro cabeludo e do pescoço,NA
D235,Neoplasia benigna da pele do tronco,NA
D236,"Neoplasia benigna da pele dos membros superiores, incluindo o ombro",NA
D237,"Neoplasia benigna da pele dos membros inferiores, incluindo o quadril",NA
D239,"Neoplasia benigna da pele, não especificada",NA
D24,Neoplasia benigna da mama,NA
D250,Leiomioma submucoso do útero,NA
D251,Leiomioma intramural do útero,NA
D252,Leiomioma subseroso do útero,NA
D259,"Leiomioma do útero, não especificado",NA
D260,Neoplasia benigna do colo do útero,NA
D261,Neoplasia benigna do corpo do útero,NA
D267,Neoplasia benigna de outras partes do útero,NA
D269,"Neoplasia benigna do útero, não especificado",NA
D27,Neoplasia benigna do ovário,NA
D280,Neoplasia benigna da vulva,NA
D281,Neoplasia benigna da vagina,NA
D282,Neoplasia benigna das trompas e ligamentos uterinos,NA
D287,Neoplasia benigna de outros órgãos genitais femininos especificados,NA
D289,"Neoplasia benigna de órgão genital feminino, não especificado",NA
D290,Neoplasia benigna do pênis,NA
D291,Neoplasia benigna da próstata,NA
D292,Neoplasia benigna dos testículos,NA
D293,Neoplasia benigna do epidídimo,NA
D294,Neoplasia benigna do escroto,NA
D297,Neoplasia benigna de outros órgãos genitais masculinos,NA
D299,"Neoplasia benigna de órgão genital masculino, não especificado",NA
D300,Neoplasia benigna do rim,NA
D301,Neoplasia benigna da pelve renal,NA
D302,Neoplasia benigna do ureter,NA
D303,Neoplasia benigna da bexiga,NA
D304,Neoplasia benigna da uretra,NA
D307,Neoplasia benigna de outros órgãos urinários,NA
D309,"Neoplasia benigna de órgão urinário, não especificado",NA
D310,Neoplasia benigna da conjuntiva,NA
D311,Neoplasia benigna da córnea,NA
D312,Neoplasia benigna da retina,NA
D313,Neoplasia benigna da coróide,NA
D314,Neoplasia benigna do corpo ciliar,NA
D315,Neoplasia benigna das glândulas e dos canais lacrimais,NA
D316,"Neoplasia benigna da órbita, não especificada",NA
D319,"Neoplasia benigna do olho, não especificado",NA
D320,Neoplasia benigna das meninges cerebrais,NA
D321,Neoplasia benigna das meninges espinhais,NA
D329,"Neoplasia benigna das meninges, não especificada",NA
D330,"Neoplasia benigna do encéfalo, supratentorial",NA
D331,"Neoplasia benigna do encéfalo, infratentorial",NA
D332,"Neoplasia benigna do encéfalo, não especificado",NA
D333,Neoplasia benigna dos nervos cranianos,NA
D334,Neoplasia benigna da medula espinhal,NA
D337,Neoplasia benigna de outras partes especificadas do sistema nervoso central,NA
D339,"Neoplasia benigna do sistema nervoso central, não especificado",NA
D34,Neoplasia benigna da glândula tireóide,NA
D350,Neoplasia benigna da glândula supra-renal (adrenal),NA
D351,Neoplasia benigna da glândula paratireóide,NA
D352,Neoplasia benigna da glândula hipófise (pituitária),NA
D353,Neoplasia benigna do conduto craniofaríngeo,NA
D354,Neoplasia benigna da glândula pineal,NA
D355,Neoplasia benigna do corpo carotídeo,NA
D356,Neoplasia benigna dos corpos aórticos e outros paragânglios,NA
D357,Neoplasia benigna de outras glândulas endócrinas especificadas,NA
D358,Neoplasia benigna com comprometimento pluriglandular,NA
D359,"Neoplasia benigna de glândula endócrina, não especificada",NA
D360,Neoplasia benigna dos gânglios linfáticos (linfonodos),NA
D361,Neoplasia benigna dos nervos periféricos e sistema nervoso autônomo,NA
D367,Neoplasia benigna de outras localizações especificadas,NA
D369,Neoplasia benigna de localização não especificada,NA
D370,"Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe",NA
